Year,BldgArea
1661,6770.994287
1665,12448.42887
1706,10630.153
1729,3678.307825
1765,8344.489608
1779,7790.173288
1780,3114.179679
1785,9410.672361
1798,4054.472742
1799,7011.661999
1800,470518.5815
1801,23672.52672
1802,3150.936815
1804,3472.645871
1805,2357.04611
1812,8276.558829
1814,2072.735157
1816,2950.631757
1821,1014.137156
1822,8876.53317
1824,22709.39804
1825,6625.9074
1826,17003.70201
1827,0
1829,66333.22656
1830,61115.08355
1831,24137.32693
1832,20506.94338
1833,3322.631354
1834,47784.02111
1835,33991.31856
1836,308905.1474
1837,10378.79702
1838,27877.17539
1839,25382.76428
1840,90014.04264
1841,29926.10127
1842,58245.86693
1843,36190.14782
1844,93772.7472
1845,90205.8962
1846,63691.78984
1847,35951.0402
1848,1605489.024
1849,97344.59787
1850,306123.2648
1851,48023.17294
1852,82695.93038
1853,268703.599
1854,26470.9883
1855,79919.73393
1856,62060.16581
1857,182389.0832
1858,71815.03789
1859,72690.22031
1860,283211.0802
1861,11343.55831
1862,97001.38215
1863,15150.18287
1864,11035.3974
1865,216544.5099
1866,57993.56942
1867,31105.34968
1868,1033950.677
1869,175531.6146
1870,616331.4277
1871,33496.84378
1872,55498.35499
1873,119408.8106
1874,56185.70969
1875,191667.5479
1876,9407.438744
1877,3191.770046
1878,15135.5168
1879,89510.43567
1880,1558335.098
1881,235634.2887
1882,228636.4451
1883,204812.4791
1884,92333.44064
1885,2546046.155
1886,379095.9842
1887,239125.208
1888,799058.4111
1889,269164.8673
1890,3163316.759
1891,532229.7381
1892,948944.9517
1893,332213.2817
1894,771755.4604
1895,992482.4343
1896,1541668
1897,1639829.905
1898,775603.8159
1899,67719031.92
1900,117023588.6
1901,80908868.11
1902,7955691.977
1903,7653282.01
1904,10717317.24
1905,38612393.38
1906,19260099.16
1907,18481009.27
1908,11234924.27
1909,13106080.37
1910,234786131.8
1911,21546307.84
1912,29130763.76
1913,27336254.59
1914,22708300.73
1915,83011800.19
1916,19221080.16
1917,20913794.6
1918,7850258.437
1919,8373119.953
1920,369234566.7
1921,24790550.91
1922,34855520.56
1923,40357639.57
1924,51590777.06
1925,257622689.6
1926,83155838.19
1927,91205150.69
1928,92395628.87
1929,83482950.4
1930,354680950.1
1931,288412504.5
1932,33153412.21
1933,33251886.5
1934,8946263.099
1935,81311558.99
1936,18280785.27
1937,32850921.1
1938,22234063.42
1939,40848200.13
1940,126014369.4
1941,26508033.78
1942,9170978.512
1943,4474299.772
1944,2546868.296
1945,58378835.04
1946,6866773.702
1947,18720442.88
1948,20562166.96
1949,34606400.48
1950,177142489.6
1951,41307165.99
1952,55796388.56
1953,27579637.69
1954,41115097.99
1955,84594379.94
1956,40735763.16
1957,48255936.77
1958,76651660.23
1959,50752178.41
1960,154022713.3
1961,59530999.03
1962,86996252.02
1963,107640876.6
1964,68515256.42
1965,96982281.68
1966,39455158.63
1967,39626605.49
1968,44159353.13
1969,76873079.54
1970,90283503.09
1971,52945879.4
1972,66222567.32
1973,59119738.16
1974,54901125.56
1975,92421440.79
1976,15964456.92
1977,18462524.14
1978,9347285.83
1979,12611240.42
1980,32795780.43
1981,14291736.21
1982,21895171.69
1983,24062063.58
1984,16109280.93
1985,37376031.01
1986,49245511.9
1987,61305931.43
1988,38600621.27
1989,36168673.54
1990,27538960.49
1991,14951218.04
1992,24510762.1
1993,13668378.04
1994,47760673.01
1995,12345856.27
1996,17559538.25
1997,25202224.64
1998,26909388.93
1999,32034625.49
2000,34197130.42
2001,33606280.28
2002,32415830.65
2003,41121191.42
2004,48481593.53
2005,62465442.63
2006,60475327.28
2007,59907780.96
2008,48784016.59
2009,67316711.71
2010,20675922.31
2011,20351543.15
2012,19571100.45
2013,22477912.63
2014,3157448.022
2015,998567.3027
2040,40193.10496
