,CensusTract,SurfaceArea,LotArea,FootPrint,Neighborhood
0,1000100,1844421.238,541886,104322.5875,park-cemetery-etc-Manhattan
3,1000500,9081808.051,9013884,1636978.14,park-cemetery-etc-Manhattan
4,1000600,2583417.582,1918049,756764.5179,Lower East Side
5,1000700,2528569.602,2152431,1187126.894,Battery Park City-Lower Manhattan
6,1000800,2366871.162,999809,679379.6309,Chinatown
7,1000900,3122058.762,1679572,1196680.751,Battery Park City-Lower Manhattan
8,1001001,867808.511,298550,69338.64671,Lower East Side
10,1001200,1298211.261,563891,267185.2687,Lower East Side
11,1001300,3463333.085,2145568,1244198.049,Battery Park City-Lower Manhattan
12,1001401,1006080.805,716175,170720.003,Lower East Side
13,1001402,1226206.048,554946,336895.0289,Lower East Side
14,1001501,2814991.384,1590842,1067696.108,Battery Park City-Lower Manhattan
15,1001502,2201257.306,1385593,930601.0765,Battery Park City-Lower Manhattan
16,1001600,2233319.763,1255827,822906.2737,Chinatown
17,1001800,2399045.315,1324196,890756.3309,Chinatown
18,1002000,1368554.36,732278,183445.8258,Lower East Side
19,1002100,2611965.075,1730632,1289183.53,SoHo-TriBeCa-Civic Center-Little Italy
20,1002201,1740173.794,1278632,471372.6732,Lower East Side
21,1002202,603922.2224,289352,223372.5411,Lower East Side
23,1002500,1439387.818,938066,195483.1643,Chinatown
24,1002601,1141510.043,646863,405133.3569,Lower East Side
25,1002602,1115989.344,664734,468832.5578,Lower East Side
26,1002700,638017.1013,309394,142472.1012,Chinatown
27,1002800,1973553.684,1208664,652403.7777,Lower East Side
28,1002900,3012226.172,1677756,1142026.759,Chinatown
29,1003001,1344750.488,769596,607836.9248,Chinatown
30,1003002,841097.8609,493227,280745.9996,East Village
31,1003100,2208672.011,1262004,763028.3414,SoHo-TriBeCa-Civic Center-Little Italy
32,1003200,2334190.232,1172234,675505.9241,East Village
33,1003300,3677727.545,1706052,1587439.213,SoHo-TriBeCa-Civic Center-Little Italy
34,1003400,1718525.042,976189,731292.2147,East Village
35,1003601,1068027.199,619133,310620.7866,Chinatown
36,1003602,961070.4638,455836,357997.4304,East Village
37,1003700,4121299.36,2300089,1663246.914,SoHo-TriBeCa-Civic Center-Little Italy
38,1003800,2180883.754,1357654,1031519.389,East Village
39,1003900,3451489.359,1807251,1352491.978,SoHo-TriBeCa-Civic Center-Little Italy
40,1004000,1927667.468,1184334,841084.7698,East Village
41,1004100,2058843.429,1231099,1053894.386,SoHo-TriBeCa-Civic Center-Little Italy
42,1004200,933479.9745,513284,424242.7353,East Village
43,1004300,1605585.141,950937,794077.9129,SoHo-TriBeCa-Civic Center-Little Italy
44,1004400,4277884.207,2675000,725800.8836,Stuyvesant Town-Cooper Village
45,1004500,1129524.59,637692,606579.6035,SoHo-TriBeCa-Civic Center-Little Italy
46,1004700,1780550.844,990877,884150.0828,SoHo-TriBeCa-Civic Center-Little Italy
47,1004800,1920810.668,1189127,755846.9057,Gramercy
48,1004900,2216135.006,1440995,1238510.042,SoHo-TriBeCa-Civic Center-Little Italy
49,1005000,1794154.322,926139,786101.6622,Gramercy
50,1005200,1815428.875,1010538,839150.0138,Hudson Yards-Chelsea-Flatiron-Union Square
51,1005400,1808932.73,1174913,1048717.089,Hudson Yards-Chelsea-Flatiron-Union Square
52,1005501,1338496.751,865663,521645.8645,West Village
53,1005502,1243017.219,634044,567310.1214,West Village
54,1005600,1878242.462,1169024,765008.5594,Hudson Yards-Chelsea-Flatiron-Union Square
55,1005700,1155301.615,671486,595493.2075,West Village
56,1005800,1879690.367,1087481,1017246.64,Hudson Yards-Chelsea-Flatiron-Union Square
57,1005900,1250316.241,733465,592044.0448,West Village
58,1006000,1296018.236,828650,204280.5275,Stuyvesant Town-Cooper Village
59,1006100,1528892.453,936006,818180.0149,West Village
60,1006200,3174474.58,2513373,1173475.208,Murray Hill-Kips Bay
61,1006300,1918265.584,1292985,994680.8805,West Village
62,1006400,1938624.431,1151376,855921.7039,Gramercy
63,1006500,2167562.308,1410675,787717.4415,West Village
64,1006600,1880536.45,1094925,690278.5915,Murray Hill-Kips Bay
65,1006700,1812910.949,1030477,753288.2036,West Village
66,1006800,1877721.065,1121058,971469.2352,Gramercy
67,1006900,2350820.995,1802902,1054387.367,West Village
68,1007000,1908709.281,1232588,745302.2045,Murray Hill-Kips Bay
69,1007100,1775750.828,1059115,798581.0551,West Village
70,1007200,1877428.855,1079309,835420.2737,Murray Hill-Kips Bay
71,1007300,1778348.436,1133458,852524.5227,West Village
72,1007400,1879420.361,1051262,937992.2515,Midtown-Midtown South
73,1007500,1778074.502,832339,630786.4817,West Village
74,1007600,1873515.087,1083981,1005243.204,Midtown-Midtown South
75,1007700,1923634.676,1097958,803120.1487,West Village
76,1007800,1912109.706,901139,622005.2351,Murray Hill-Kips Bay
77,1007900,2979133.706,1914595,1055932.402,West Village
78,1008000,1855976.711,1004836,788372.379,Murray Hill-Kips Bay
79,1008100,1876262.638,1224009,967802.4258,Hudson Yards-Chelsea-Flatiron-Union Square
80,1008200,1856719.406,1100284,972559.0717,Murray Hill-Kips Bay
81,1008300,1872963.184,1045743,828475.7115,Hudson Yards-Chelsea-Flatiron-Union Square
82,1008400,1862741.824,1026759,864121.5135,Midtown-Midtown South
83,1008601,1221384.836,204037,145713.4574,Turtle Bay-East Midtown
84,1008602,1075371.263,659375,348330.4169,Turtle Bay-East Midtown
85,1008603,1253784.291,689045,456290.7095,Turtle Bay-East Midtown
86,1008700,1780833.958,1150658,962152.628,Hudson Yards-Chelsea-Flatiron-Union Square
87,1008800,1946103.253,982207,772263.1473,Turtle Bay-East Midtown
88,1008900,1782674.056,1137546,725437.9763,Hudson Yards-Chelsea-Flatiron-Union Square
89,1009000,1906164.213,1189343,890141.2903,Turtle Bay-East Midtown
90,1009100,1927040.218,1181467,1069307.263,Hudson Yards-Chelsea-Flatiron-Union Square
91,1009200,2118430.761,1085191,891151.4747,Turtle Bay-East Midtown
92,1009300,1929422.688,1224016,654621.9133,Hudson Yards-Chelsea-Flatiron-Union Square
93,1009400,1646379.323,962891,853130.341,Midtown-Midtown South
94,1009500,1851216.003,1089847,986606.5544,Midtown-Midtown South
95,1009600,1887288.401,1140412,1037423.903,Midtown-Midtown South
96,1009700,1860580.941,1172924,640435.3332,Hudson Yards-Chelsea-Flatiron-Union Square
97,1009800,1906016.35,1219752,907608.9947,Turtle Bay-East Midtown
98,1009900,10715840.39,6449009,3961125.58,Hudson Yards-Chelsea-Flatiron-Union Square
99,1010000,1860938.378,1012983,839414.2388,Turtle Bay-East Midtown
100,1010100,1891336.081,862219,763901.2309,Midtown-Midtown South
101,1010200,1860992.536,1080793,952912.6479,Midtown-Midtown South
102,1010300,1875918.123,450929,387003.9242,Hudson Yards-Chelsea-Flatiron-Union Square
103,1010400,1864600.351,1189756,1011398.211,Midtown-Midtown South
104,1010601,1305574.866,763759,500255.9318,Turtle Bay-East Midtown
105,1010602,1344539.176,685333,405829.0637,Lenox Hill-Roosevelt Island
106,1010800,1950021.481,1183346,929961.9174,Turtle Bay-East Midtown
107,1010900,1891364.623,1136437,1102187.229,Midtown-Midtown South
108,1011000,1901324.182,966885,723107.2645,Lenox Hill-Roosevelt Island
109,1011100,1889012.186,874728,770094.03,Hudson Yards-Chelsea-Flatiron-Union Square
110,1011201,856164.3561,495491,433016.1193,Midtown-Midtown South
111,1011202,839525.7815,459873,400609.2528,Midtown-Midtown South
112,1011203,854082.5154,456668,397144.3932,Turtle Bay-East Midtown
113,1011300,1890907.331,1109732,1044210.716,Midtown-Midtown South
114,1011401,1060696.302,575322,484283.0708,Upper East Side-Carnegie Hill
115,1011402,1063547.405,664144,535937.18,Upper East Side-Carnegie Hill
116,1011500,1889825.652,815190,747999.0851,Clinton
117,1011600,2117484.292,1275386,907025.4599,Lenox Hill-Roosevelt Island
118,1011700,2136884.281,2050566,1340185.043,Hudson Yards-Chelsea-Flatiron-Union Square
119,1011800,1903276.097,1155136,808038.7355,Lenox Hill-Roosevelt Island
120,1011900,1911310.522,1072860,1018019.461,Midtown-Midtown South
121,1012000,1862415.442,1136248,881065.9205,Upper East Side-Carnegie Hill
122,1012100,1919460.657,1173946,916133.4799,Clinton
123,1012200,1857829.531,1122180,912342.1504,Upper East Side-Carnegie Hill
124,1012400,1847564.265,953170,763970.3967,Lenox Hill-Roosevelt Island
125,1012500,1875481.621,1118716,934374.2955,Midtown-Midtown South
126,1012600,1976487.481,1276428,936853.4457,Lenox Hill-Roosevelt Island
127,1012700,1871751.383,1178974,882117.6121,Clinton
128,1012800,1924402.657,1166207,889031.3939,Upper East Side-Carnegie Hill
129,1012900,4355081.721,2571004,1479344.331,Clinton
130,1013000,1918144.499,1150408,908967.6542,Upper East Side-Carnegie Hill
131,1013100,1874645.496,1032159,875960.667,Midtown-Midtown South
132,1013200,2148206.135,1184844,773083.5326,Lenox Hill-Roosevelt Island
133,1013300,1876725.739,1224891,925796.5144,Clinton
134,1013400,1956780.763,1274173,921435.1041,Lenox Hill-Roosevelt Island
135,1013500,4513475.187,1950382,1360875.88,Clinton
136,1013600,2358422.798,1436028,1031032.101,Yorkville
137,1013700,2435167.669,1365864,1147125.662,Midtown-Midtown South
138,1013800,1959555.686,1275671,932854.2571,Yorkville
139,1013900,1955059.852,1270230,995120.3079,Clinton
140,1014000,1925984.223,1182111,884803.7435,Upper East Side-Carnegie Hill
141,1014200,1927688.283,1171341,886026.8253,Upper East Side-Carnegie Hill
142,1014401,800310.5664,513817,339895.4867,Yorkville
143,1014402,1886948.278,1393735,544619.8367,Yorkville
144,1014500,1897994.09,1101533,854875.9532,Lincoln Square
145,1014601,799879.8088,500999,408377.2026,Yorkville
146,1014602,1175338.622,753490,545608.5327,Yorkville
147,1014700,703936.3493,462238,351656.8194,Lincoln Square
148,1014801,559216.1578,336977,257166.0388,Upper East Side-Carnegie Hill
149,1014802,1351365.005,828345,663441.8412,Upper East Side-Carnegie Hill
150,1014900,1880349.87,1221302,784319.5682,Lincoln Square
151,1015001,556354.4168,331035,259951.9074,Upper East Side-Carnegie Hill
152,1015002,1352593.384,814025,593274.2831,Upper East Side-Carnegie Hill
153,1015100,3579761.104,1439642,870603.3342,Lincoln Square
154,1015200,1913189.431,1240371,482825.3127,Yorkville
155,1015300,1872392.646,1148331,903234.9442,Lincoln Square
156,1015400,1909222.245,1337999,806244.1711,Yorkville
157,1015500,2035791.203,1211461,407737.4918,Lincoln Square
158,1015601,791936.099,477177,319253.342,Yorkville
159,1015602,1169910.754,765512,283113.6827,East Harlem South
160,1015700,1967465.565,1252110,921826.5214,Lincoln Square
161,1015801,1352987.614,829319,563474.6888,Upper East Side-Carnegie Hill
162,1015802,551658.977,269395,181195.9464,East Harlem South
163,1015900,1867947.755,980518,692221.7411,Lincoln Square
164,1016001,1352676.797,829145,644391.341,Upper East Side-Carnegie Hill
165,1016002,554061.785,300199,228569.5117,East Harlem South
166,1016100,1676887.399,1121852,761549.0683,Upper West Side
167,1016200,2924177.056,1765468,638805.0353,East Harlem South
168,1016300,2861319.982,1296416,673183.1316,Upper West Side
169,1016400,1911300.538,1254893,478153.4734,East Harlem South
170,1016500,2198742.307,1549506,896184.9969,Upper West Side
171,1016600,1872055.576,1040464,669303.7379,East Harlem South
173,1016800,2151827.969,1339748,664782.9573,East Harlem South
174,1016900,1937088.122,1298588,904508.2998,Upper West Side
175,1017000,1969157.94,1230078,558603.7021,East Harlem South
176,1017100,2261887.348,993166,751428.2951,Upper West Side
177,1017200,1912754.692,995466,611746.3455,East Harlem South
178,1017300,1922492.174,1236692,825786.7269,Upper West Side
179,1017401,1086638.954,625110,331417.6577,East Harlem South
180,1017402,547579.1802,212148,141436.6803,East Harlem South
181,1017500,2318953.257,2004967,696876.2844,Upper West Side
182,1017700,1879137.151,1287135,776585.3865,Upper West Side
183,1017800,2663014.712,1656397,774656.7612,East Harlem North
184,1017900,2278120.864,1889249,635775.5428,Upper West Side
185,1018000,2287541.217,1453936,598309.7941,East Harlem North
186,1018100,1489438,944176,572877.343,Upper West Side
187,1018200,1904007.708,1162641,617149.1551,East Harlem North
188,1018300,2391019.327,826696,623146.8473,Upper West Side
189,1018400,1903568.319,1185446,472928.7791,East Harlem North
190,1018500,1406908.142,938243,349423.0517,Upper West Side
191,1018600,1311722.273,884647,291543.689,Central Harlem South
192,1018700,2323892.303,891957,641640.3896,Upper West Side
193,1018800,1599376.133,918652,638589.4416,East Harlem North
194,1018900,2854221.162,1909164,775598.0629,Upper West Side
195,1019000,1117371.641,681794,432763.6498,Central Harlem South
196,1019100,2385127.338,851570,630368.297,Upper West Side
197,1019200,2048253.285,1010602,235983.8143,East Harlem North
198,1019300,1892879.091,1112312,686136.4609,Morningside Heights
199,1019400,1881141.414,1184109,529052.0574,East Harlem North
201,1019600,1902090.819,992447,657744.771,East Harlem North
202,1019701,2540523.639,1946554,272032.3027,Morningside Heights
203,1019702,509562.319,317364,171961.8212,Central Harlem South
204,1019800,2431074.17,1562842,482130.9423,East Harlem North
205,1019900,2406472.697,926524,664508.6415,Morningside Heights
206,1020000,1391141.176,810318,585144.8828,Central Harlem South
207,1020101,593473.6796,363012,306947.5204,Morningside Heights
208,1020102,897067.9029,505955,349766.6398,Central Harlem South
209,1020300,1916590.005,1427937,685798.502,Morningside Heights
211,1020600,1602693.802,846231,550110.3329,Central Harlem North-Polo Grounds
212,1020701,508697.4812,306206,209635.0647,Morningside Heights
213,1020800,1599291.867,961548,579961.5617,Central Harlem North-Polo Grounds
214,1020901,1246712.44,734553,295192.6332,Morningside Heights
215,1021000,2157287.864,993159,264080.703,East Harlem North
217,1021200,1900292.296,1280445,658227.7227,Central Harlem North-Polo Grounds
218,1021303,1650328.223,1035499,694176.0088,Manhattanville
219,1021400,1460341.279,1003585,316620.7389,Central Harlem North-Polo Grounds
220,1021500,750499.5371,391072,240326.2842,Central Harlem North-Polo Grounds
221,1021600,1864443.446,1045582,713126.3996,Central Harlem South
222,1021703,3377609.427,2448968,733007.3444,Manhattanville
223,1021800,1958525.805,1099084,730507.0541,Central Harlem South
224,1021900,3004767.717,1393742,706999.475,Manhattanville
225,1022000,1882647.533,1152350,756398.6941,Central Harlem South
226,1022102,1065533.57,544341,366154.2085,Central Harlem North-Polo Grounds
227,1022200,1953119.689,1129682,867303.5872,Central Harlem South
228,1022301,1972647.898,1171789,543824.1084,Manhattanville
229,1022302,641724.2597,576662,216685.375,Manhattanville
230,1022400,2099457.911,1107091,592901.7352,Central Harlem North-Polo Grounds
231,1022500,2960365.532,956685,644781.1554,Hamilton Heights
232,1022600,1642680.578,927397,584693.872,Central Harlem North-Polo Grounds
233,1022700,1621656.3,978306,649676.5696,Hamilton Heights
234,1022800,1944083.402,1127654,725028.1843,Central Harlem North-Polo Grounds
235,1022900,2186915.904,862456,614065.8569,Hamilton Heights
236,1023000,1869850.528,1123206,675521.6192,Central Harlem North-Polo Grounds
237,1023100,1962710.705,1486116,623548.3273,Hamilton Heights
238,1023200,1943146.284,1117427,680817.1246,Central Harlem North-Polo Grounds
239,1023300,2535522.344,1776946,594437.5501,Hamilton Heights
240,1023400,1164816.981,731791,495983.3006,Central Harlem North-Polo Grounds
241,1023501,1929059.39,1415771,559547.8519,Hamilton Heights
242,1023502,447807.6356,236222,169982.3575,Central Harlem North-Polo Grounds
243,1023600,2828013.838,1668726,641394.0773,Central Harlem North-Polo Grounds
244,1023700,2897558.157,1519465,588088.7501,Hamilton Heights
247,1023900,687269.0362,397710,202629.6144,Washington Heights South
248,1024000,23466537.56,13300030,602297.3031,park-cemetery-etc-Manhattan
249,1024100,1874161.111,942603,637715.2082,Washington Heights South
250,1024200,3735142.841,1120551,623972.7732,East Harlem North
251,1024301,1131945.005,646725,371359.1477,Washington Heights South
252,1024302,2272412.32,1511932,251037.4868,Central Harlem North-Polo Grounds
253,1024500,2282409.823,1349334,935185.5901,Washington Heights South
254,1024700,2736091.269,1037686,638715.7083,Washington Heights South
255,1024900,652856.3083,336260,169046.4041,Washington Heights South
256,1025100,1715989.095,940641,671656.7649,Washington Heights South
257,1025300,1822960.362,1053406,759214.6888,Washington Heights South
