BoroCT2010,LotArea,FootPrint,FloorSpace,AssessLand
1000100,541886.0,104322.587485,541886.0,4225950.0
1000201,1025454.0,363381.890347,1593597.0,25010434.0
1000202,4210852.0,577483.988419,3744194.0,112694419.0
1000500,9013884.0,1636978.14039,3447127.0,115785000.0
1000600,1918049.0,756764.517902,5081078.0,78286614.0
1000700,2152431.0,1187126.89383,27771533.0,718524247.0
1000800,999809.0,679379.63085,4010277.0,64781195.0
1000900,1679572.0,1196680.75126,22536759.0,575230250.0
1001001,298550.0,69338.6467093,1231250.0,8595450.0
1001002,3498725.0,213133.345316,3189160.0,83930850.0
1001200,563891.0,267185.268731,2232631.0,28163827.0
1001300,2145568.0,1244198.04936,23051898.0,672570019.0
1001401,716175.0,170720.003006,2184118.0,26883000.0
1001402,554946.0,336895.02893,1775461.0,29737264.0
1001501,1590842.0,1067696.10781,8721749.0,191003935.0
1001502,1385593.0,930601.076508,13957267.0,335340765.0
1001600,1255827.0,822906.273746,3523500.0,87077330.0
1001800,1324196.0,890756.330909,4326950.0,105199756.0
1002000,732278.0,183445.825803,1797649.0,29402100.0
1002100,1730632.0,1289183.53011,16806517.0,263502177.0
1002201,1278632.0,471372.673219,3321846.0,57188015.0
1002202,289352.0,223372.541098,1222393.0,19449068.0
1002400,3002200.0,148593.690926,1483189.0,73382850.0
1002500,938066.0,195483.164316,1492152.0,40931100.0
1002601,646863.0,405133.356888,1731443.0,28624298.0
1002602,664734.0,468832.557788,2251558.0,31228901.0
1002700,309394.0,142472.101245,962473.0,21871558.0
1002800,1208664.0,652403.777654,3789720.0,62725107.0
1002900,1677756.0,1142026.75897,10250574.0,217518897.0
1003001,769596.0,607836.924774,2749316.0,57538449.0
1003002,493227.0,280745.999568,1566057.0,32316090.0
1003100,1262004.0,763028.341443,8810648.0,142744831.0
1003200,1172234.0,675505.924139,4105148.0,74823728.0
1003300,1706052.0,1587439.21345,13188858.0,210338610.0
1003400,976189.0,731292.214714,3437291.0,61817936.0
1003601,619133.0,310620.786617,1715871.0,37685970.0
1003602,455836.0,357997.430411,1741878.0,36523869.0
1003700,2300089.0,1663246.91405,13349599.0,202765677.0
1003800,1357654.0,1031519.38937,5192910.0,122198465.0
1003900,1807251.0,1352491.97792,10902091.0,168263220.0
1004000,1184334.0,841084.769799,4361408.0,132543409.0
1004100,1231099.0,1053894.38644,4930309.0,102500540.0
1004200,513284.0,424242.735258,2417162.0,75046825.0
1004300,950937.0,794077.912922,4909566.0,107850948.0
1004400,2675000.0,725800.883649,8942176.0,117450000.0
1004500,637692.0,606579.603527,3419517.0,91964111.0
1004700,990877.0,884150.08275,4708782.0,101511579.0
1004800,1189127.0,755846.905682,5027856.0,123372920.0
1004900,1440995.0,1238510.04202,7219080.0,188093794.0
1005000,926139.0,786101.662151,7064938.0,208765388.0
1005200,1010538.0,839150.013801,7693157.0,280123172.0
1005400,1174913.0,1048717.08851,9324285.0,217810745.0
1005501,865663.0,521645.864531,2997363.0,68162850.0
1005502,634044.0,567310.121364,3639341.0,71575207.0
1005600,1169024.0,765008.559355,11024213.0,425302431.0
1005700,671486.0,595493.207504,6017014.0,108057149.0
1005800,1087481.0,1017246.63958,10129701.0,308162004.0
1005900,733465.0,592044.044751,4826402.0,78543333.0
1006000,828650.0,204280.52746,3122165.0,32941350.0
1006100,936006.0,818180.014897,5799182.0,125218325.0
1006200,2513373.0,1173475.20789,8546472.0,351409404.0
1006300,1292985.0,994680.880484,6761970.0,149705656.0
1006400,1151376.0,855921.703885,6779804.0,132482193.0
