,CT2010,CT_Land,CT_LOT,CT_FP,Bldg/Land,Lot/Land,Bldg/Lot
0,1,34522622.2924,22545886,429752.7078,0.0124484375538,0.653075708127,0.0190612472626
1,100,5889900.88121,1157385,965828.852828,0.163980493442,0.19650330682,0.834492284614
2,101,7145034.32324,1580147,1028380.28571,0.143929369571,0.221153171352,0.650813048223
3,102,5803752.96311,1562269,996224.052218,0.171651698229,0.269182546178,0.637677667686
4,103,4571804.9758,899512,822591.602536,0.179927098135,0.19675204974,0.9144865244
5,104,5511358.76796,2094433,1056518.81945,0.191698429359,0.380021168677,0.504441450001
6,108,5271498.88247,1365728,973728.326649,0.184715646984,0.259077736797,0.712973832746
7,109,1891364.6233,1345370,1170715.04873,0.618979034665,0.711322387776,0.870180730007
8,110,27308098.8822,1154159,755649.176761,0.0276712480067,0.042264348206,0.654718437201
9,111,3511567.77132,1219296,781386.635343,0.222517885522,0.347222687814,0.640850650985
10,113,3813903.3732,1180513,1029717.91786,0.269990562712,0.309528817194,0.872263090589
11,115,7607994.97707,1036100,807686.91208,0.106162913424,0.136185684024,0.779545325818
12,116,5345204.94608,11454860,927799.896666,0.173576112801,2.14301605187,0.0809961794964
13,117,21494127.4088,1837077,683176.819194,0.0317843477058,0.0854687871278,0.371882517278
14,118,16983851.1537,2254477,828426.107273,0.0487772825949,0.13274239038,0.367458220808
15,119,12632352.9384,1321662,1122217.73094,0.0888367936213,0.104625164167,0.849095858805
16,12,3719185.293,977268,288984.162894,0.0777009318245,0.262763998836,0.295706155214
17,120,5545535.2014,1475427,887389.023083,0.160018643982,0.266056736891,0.601445563273
18,121,14797068.9827,2057521,932930.297653,0.063048317119,0.139049226736,0.453424435354
19,122,15001473.7505,1196509,938721.626813,0.0625752937628,0.0797594303,0.784550410246
20,124,3950754.45103,1062872,819911.098145,0.207532791093,0.269030134162,0.771410948962
21,125,10411438.455,1226136,990931.780812,0.0951772211971,0.117768164822,0.808174444606
22,126,7631768.03728,1502670,938062.29326,0.12291546188,0.196896707638,0.624263672836
23,127,4804026.15328,2558758,920932.841049,0.191700213876,0.532627824737,0.359914005564
24,128,38821426.7571,1869160,889031.39394,0.0229005337568,0.0481476379448,0.475631510379
25,129,8891621.31645,6836976,1924540.73353,0.216444297956,0.768923434397,0.281490052551
26,13,6601770.89458,11055862,1477719.26353,0.223836798812,1.67468126001,0.133659344114
27,130,7083726.51631,1217025,920732.324652,0.129978525079,0.171805757492,0.756543476635
28,131,6035049.67904,1338343,1048016.04594,0.173654916144,0.221761720479,0.783069845279
29,132,39830959.447,1710244,919618.076618,0.0230880222165,0.0429375546998,0.537711622797
30,133,15241913.1343,1703513,944053.484485,0.0619379913904,0.111765037958,0.55418038165
31,134,16059434.6975,1495841,951351.657227,0.0592394237498,0.0931440631738,0.635997848185
32,135,9416507.24844,5420054,1936293.54536,0.205627574458,0.57559070014,0.357246172337
33,136,6312996.41241,4199042,1053761.00738,0.166919310347,0.665142465747,0.250952719068
