,BoroCT2010,boroname,LotArea,FootPrint,FloorSpace,SurfaceArea,ct_density,dist_from_esb,floorarea_sqft,s,p,f,l,r
0,1000500,Manhattan,7736692.0,947928.212971,2725731.0,9081808.05089,0.300130875342,6218.90867838,2725731,0.3001,0.1044,2.8755,0.8519,0.1225
1,1000600,Manhattan,1349249.0,571785.226553,4715391.0,2583417.58197,1.86536974651,3782.72864542,4819029,1.8253,0.2213,8.2468,0.5223,0.4238
2,1000700,Manhattan,1637098.0,1159209.75242,26876019.0,2528569.60166,11.1331445975,4837.18073162,28150931,10.6289,0.4584,23.1848,0.6474,0.7081
3,1000800,Manhattan,1008614.0,687704.005003,4010277.0,2366871.16185,1.70859363415,3821.20970701,4044021,1.6943,0.2906,5.8314,0.4261,0.6818
4,1000900,Manhattan,1692004.0,1204466.23456,22536759.0,3122058.76235,7.2279309,5142.41143688,22566025,7.2186,0.3858,18.711,0.542,0.7119
5,1001200,Manhattan,587812.0,280963.252146,2270631.0,1298211.2606,1.85036370651,3318.27865287,2402163,1.749,0.2164,8.0816,0.4528,0.478
6,1001300,Manhattan,2344914.0,1391498.46058,25319823.0,3463333.08453,7.50269822907,4522.32814393,25984343,7.3108,0.4018,18.1961,0.6771,0.5934
7,1001600,Manhattan,1258015.0,824242.809832,3523500.0,2233319.76276,1.66943133812,3412.93363019,3728374,1.5777,0.3691,4.2748,0.5633,0.6552
8,1001800,Manhattan,1330789.0,897129.526358,4326950.0,2399045.31544,1.83603076259,3045.06270468,4404721,1.8036,0.374,4.8231,0.5547,0.6741
9,1002000,Manhattan,732278.0,183445.825803,1797649.0,1368554.35977,1.31353861625,2971.12897613,1797649,1.3135,0.134,9.7993,0.5351,0.2505
10,1002100,Manhattan,1730632.0,1295172.64516,16806517.0,2611965.07501,6.46470052818,4089.4037889,16885572,6.4344,0.4959,12.9763,0.6626,0.7484
11,1002400,Manhattan,769700.0,141332.387629,1450209.0,1860513.39063,0.779467112305,2553.67359929,1450209,0.7795,0.076,10.261,0.4137,0.1836
12,1002500,Manhattan,938066.0,195483.164316,1492152.0,1439387.81849,1.03665737672,4144.59097145,1492152,1.0367,0.1358,7.6331,0.6517,0.2084
13,1002700,Manhattan,311021.0,143810.5646,973473.0,638017.101253,1.52636661006,3940.65712998,973848,1.5258,0.2254,6.7691,0.4875,0.4624
14,1002800,Manhattan,1208664.0,652403.777654,3789720.0,1973553.68367,1.94064242168,2203.71688598,3829962,1.9203,0.3306,5.8089,0.6124,0.5398
15,1002900,Manhattan,1676129.0,1140688.29562,10239574.0,3012226.17212,3.56152506053,3582.46251559,10728119,3.3993,0.3787,8.9767,0.5564,0.6805
16,1003100,Manhattan,1262004.0,763028.341443,8810648.0,2208672.01072,4.09648193851,3498.82794164,9047785,3.9891,0.3455,11.5469,0.5714,0.6046
17,1003200,Manhattan,1180334.0,682526.067613,4105148.0,2334190.23228,1.91127781202,2246.88627096,4461286,1.7587,0.2924,6.0146,0.5057,0.5782
18,1003300,Manhattan,1722518.0,1604179.00779,13188858.0,3677727.54492,3.65608187006,3323.25007957,13446073,3.5861,0.4362,8.2216,0.4684,0.9313
19,1003400,Manhattan,976189.0,731292.214714,3437291.0,1718525.04219,2.02711099022,1911.8975941,3483641,2.0001,0.4255,4.7003,0.568,0.7491
20,1003700,Manhattan,2343830.0,1697448.96967,13451212.0,4121299.35958,3.48130862337,2652.60435877,14347515,3.2638,0.4119,7.9244,0.5687,0.7242
21,1003800,Manhattan,1353068.0,1025944.85308,5012910.0,2180883.75363,2.33295424001,2054.66999762,5087902,2.2986,0.4704,4.8861,0.6204,0.7582
22,1003900,Manhattan,1836148.0,1374507.43954,10903351.0,3451489.35861,3.33618064656,3286.91653182,11514792,3.159,0.3982,7.9326,0.532,0.7486
23,1004000,Manhattan,1184334.0,841084.769799,4361408.0,1927667.4675,2.26757419197,1682.36420421,4371129,2.2625,0.4363,5.1855,0.6144,0.7102
24,1004100,Manhattan,1234924.0,1056923.47216,4930309.0,2058843.42851,2.42996574228,3054.68245425,5002919,2.3947,0.5134,4.6648,0.5998,0.8559
25,1004200,Manhattan,531459.0,441812.709595,2597162.0,933479.974503,2.69424847741,1590.93321957,2515027,2.7822,0.4733,5.8784,0.5693,0.8313
26,1004300,Manhattan,960787.0,805374.890385,4909566.0,1605585.14064,3.09392561893,2713.98553433,4967561,3.0578,0.5016,6.096,0.5984,0.8382
27,1004400,Manhattan,2675000.0,725800.883649,8942176.0,4277884.20661,2.09050211929,1573.59555914,8942926,2.0903,0.1697,12.3204,0.6253,0.2713
28,1004500,Manhattan,640257.0,607852.27618,3419517.0,1129524.58963,3.07156571167,3028.08064842,3469409,3.0274,0.5381,5.6256,0.5668,0.9494
29,1004700,Manhattan,1037998.0,914723.994072,4708782.0,1780550.84355,2.76608725768,2971.35037571,4925159,2.6446,0.5137,5.1478,0.583,0.8812
30,1004800,Manhattan,1197325.0,762000.524317,5027856.0,1920810.66835,2.65715829472,1336.77865614,5103898,2.6176,0.3967,6.5982,0.6233,0.6364
31,1004900,Manhattan,1425303.0,1226520.3626,7135587.0,2216135.00606,3.32539217144,2654.1773172,7369518,3.2198,0.5535,5.8177,0.6431,0.8605
32,1005000,Manhattan,939772.0,799102.195114,7064938.0,1794154.32209,3.93775380022,1063.26838185,7064938,3.9378,0.4454,8.8411,0.5238,0.8503
33,1005200,Manhattan,1032853.0,856026.16147,7813624.0,1815428.87494,4.30400998236,991.132576258,7813624,4.304,0.4715,9.1278,0.5689,0.8288
34,1005400,Manhattan,1184113.0,1057646.66001,9324285.0,1808932.73001,5.24444211916,987.591831554,9486843,5.1546,0.5847,8.8161,0.6546,0.8932
35,1005600,Manhattan,1174615.0,768904.696906,11024213.0,1878242.46179,6.15853343502,434.432924119,11567219,5.8694,0.4094,14.3376,0.6254,0.6546
36,1005700,Manhattan,674558.0,596899.311521,6017014.0,1155301.61546,5.22195842131,1913.1668443,6032937,5.2082,0.5167,10.0805,0.5839,0.8849
37,1005800,Manhattan,1099006.0,1044762.41536,10129701.0,1879690.3674,5.60003454961,426.503613274,10526331,5.389,0.5558,9.6957,0.5847,0.9506
38,1005900,Manhattan,852165.0,680320.677063,5132302.0,1250316.2411,4.10480311404,1856.09238839,5132302,4.1048,0.5441,7.5439,0.6816,0.7983
39,1006000,Manhattan,1224450.0,246624.018227,3297165.0,1296018.23635,2.54407299799,1425.46044341,3297165,2.5441,0.1903,13.3692,0.9448,0.2014
40,1006100,Manhattan,947799.0,829223.542247,5799182.0,1528892.45318,3.81221058936,1530.32771754,5828460,3.7931,0.5424,6.9935,0.6199,0.8749
41,1006200,Manhattan,2117573.0,1131131.71712,8371472.0,3174474.57977,2.88944635388,1149.02171219,9172474,2.6371,0.3563,7.401,0.6671,0.5342
42,1006300,Manhattan,1274800.0,980869.603175,6641503.0,1918265.58446,3.46608835287,1528.17030994,6648878,3.4622,0.5113,6.771,0.6646,0.7694
43,1006400,Manhattan,1165520.0,868600.867926,6779804.0,1938624.43131,3.55516668865,1021.14922618,6892133,3.4972,0.4481,7.8054,0.6012,0.7452
44,1006500,Manhattan,1426740.0,802601.625769,4226810.0,2167562.30808,1.96319985088,2101.5116178,4255358,1.95,0.3703,5.2664,0.6582,0.5625
45,1006600,Manhattan,1127019.0,706467.691706,6551321.0,1880536.44977,3.60794867913,785.047383794,6784879,3.4838,0.3757,9.2733,0.5993,0.6268
46,1006700,Manhattan,1032857.0,757316.725513,3666019.0,1812910.94853,2.04187304567,2215.7827151,3701734,2.0222,0.4177,4.8408,0.5697,0.7332
47,1006800,Manhattan,1145682.0,991978.668999,8637644.0,1877721.06529,4.62884885336,580.077333331,8691687,4.6001,0.5283,8.7075,0.6101,0.8658
48,1006900,Manhattan,1821452.0,1064263.26616,4038050.0,2350820.99482,1.71851026042,2441.96280442,4039910,1.7177,0.4527,3.7942,0.7748,0.5843
49,1007000,Manhattan,1261037.0,758207.470891,5702897.0,1908709.28103,2.99301892477,703.728224721,5712803,2.9878,0.3972,7.5216,0.6607,0.6013
50,1007100,Manhattan,1065568.0,803651.933659,4848719.0,1775750.82775,2.73574024243,1545.33697604,4857993,2.7305,0.4526,6.0334,0.6001,0.7542
51,1007200,Manhattan,1107577.0,859029.274534,9750467.0,1877428.85493,5.20534718231,392.673486498,9772669,5.1935,0.4576,11.3506,0.5899,0.7756
52,1007300,Manhattan,1133458.0,852524.522693,3822737.0,1778348.4359,2.15337440217,1911.81629399,3829450,2.1496,0.4794,4.484,0.6374,0.7521
53,1007400,Manhattan,1101593.0,984241.681184,11820661.0,1879420.36101,6.570907316,82.071638866,12349497,6.2895,0.5237,12.0099,0.5861,0.8935
54,1007500,Manhattan,832339.0,630786.481719,3420511.0,1778074.50241,1.98858427766,2150.99029121,3535851,1.9237,0.3548,5.4226,0.4681,0.7578
55,1007600,Manhattan,1107557.0,1026993.3021,11661287.0,1873515.08743,6.24307062082,0.0,11696487,6.2243,0.5482,11.3548,0.5912,0.9273
56,1007700,Manhattan,1112146.0,813672.219385,4128446.0,1923634.67585,2.14829148792,1609.62574144,4132528,2.1462,0.423,5.0738,0.5781,0.7316
57,1007800,Manhattan,901139.0,622005.235094,6379288.0,1912109.70601,3.52496720184,705.348177954,6740124,3.3363,0.3253,10.256,0.4713,0.6902
58,1007900,Manhattan,1935465.0,1071682.55294,5011454.0,2979133.70568,1.92897048865,1842.4664275,5746661,1.6822,0.3597,4.6762,0.6497,0.5537
59,1008000,Manhattan,1045128.0,823715.451863,10834074.0,1855976.7105,6.51085648416,415.864354048,12083998,5.8374,0.4438,13.1527,0.5631,0.7881
60,1008100,Manhattan,1237113.0,980851.91246,6645877.0,1876262.63754,3.56242184131,1232.37210111,6684039,3.5421,0.5228,6.7756,0.6593,0.7929
61,1008200,Manhattan,1135703.0,1005596.14274,14554145.0,1856719.40603,7.90108077309,157.740233386,14670090,7.8386,0.5416,14.4732,0.6117,0.8854
62,1008300,Manhattan,1213974.0,995175.373015,6644420.0,1872963.18444,3.54930468214,1439.24680268,6647717,3.5475,0.5313,6.6766,0.6482,0.8198
63,1008400,Manhattan,1104150.0,920441.147864,9185663.0,1862741.82427,4.99365069212,134.498661427,9301882,4.9313,0.4941,9.9796,0.5928,0.8336
64,1008700,Manhattan,1165778.0,972845.8122,6270714.0,1780833.95782,3.52122328556,937.928751092,6270714,3.5212,0.5463,6.4457,0.6546,0.8345
65,1008800,Manhattan,1027758.0,805975.886401,12404194.0,1946103.25302,6.58099357273,834.347085635,12807293,6.3739,0.4141,15.3903,0.5281,0.7842
66,1008900,Manhattan,1159765.0,742047.882935,3773662.0,1782674.05643,2.12423128409,1196.56801424,3786812,2.1169,0.4163,5.0855,0.6506,0.6398
67,1009000,Manhattan,1191508.0,892382.769019,12721773.0,1906164.21271,6.73202492967,1107.58334512,12832345,6.674,0.4682,14.256,0.6251,0.749
68,1009100,Manhattan,1196557.0,1076745.5885,8353970.0,1927040.21793,4.50737141819,626.773689075,8685886,4.3351,0.5588,7.7585,0.6209,0.8999
69,1009200,Manhattan,1164927.0,970553.776031,14978939.0,2118430.76118,7.08139641611,764.024816027,15001448,7.0708,0.4581,15.4334,0.5499,0.8331
70,1009300,Manhattan,1224016.0,655666.401295,6085668.0,1929422.6884,3.15413933742,971.807300982,6085668,3.1541,0.3398,9.2817,0.6344,0.5357
71,1009400,Manhattan,1013734.0,904429.31852,15459102.0,1646379.32322,9.38975713675,695.392946971,15459102,9.3898,0.5493,17.0927,0.6157,0.8922
