BoroCT2010,LotArea,FootPrint,FloorSpace,AssessLand
1000000.0,3029425.0,277196.189682,478815.0,63316800.0
1000100.0,3306076.0,429752.7078,1145016.0,19198350.0
1000500.0,7736692.0,947928.212971,2725731.0,104445450.0
1000600.0,1349249.0,571785.226553,4715391.0,72211614.0
1000700.0,1637098.0,1159209.75242,26876019.0,717689047.0
1000800.0,1008614.0,687704.005003,4010277.0,67086995.0
1000900.0,1692004.0,1204466.23456,22536759.0,579955700.0
1001200.0,587812.0,280963.252146,2270631.0,29171827.0
1001300.0,2344914.0,1391498.46058,25319823.0,749520469.0
1001600.0,1258015.0,824242.809832,3523500.0,87747830.0
1001800.0,1330789.0,897129.526358,4326950.0,106686106.0
1002000.0,732278.0,183445.825803,1797649.0,29402100.0
1002100.0,1730632.0,1295172.64516,16806517.0,263502177.0
1002400.0,769700.0,141332.387629,1450209.0,24164100.0
1002500.0,938066.0,195483.164316,1492152.0,40931100.0
1002700.0,311021.0,143810.5646,973473.0,22057858.0
1002800.0,1208664.0,652403.777654,3789720.0,62725107.0
1002900.0,1676129.0,1140688.29562,10239574.0,217332597.0
1003100.0,1262004.0,763028.341443,8810648.0,142744831.0
1003200.0,1180334.0,682526.067613,4105148.0,76387478.0
1003300.0,1722518.0,1604179.00779,13188858.0,218704110.0
1003400.0,976189.0,731292.214714,3437291.0,61817936.0
1003700.0,2343830.0,1697448.96967,13451212.0,214632113.0
1003800.0,1353068.0,1025944.85308,5012910.0,121417715.0
1003900.0,1836148.0,1374507.43954,10903351.0,171626970.0
1004000.0,1184334.0,841084.769799,4361408.0,132543409.0
1004100.0,1234924.0,1056923.47216,4930309.0,102950540.0
1004200.0,531459.0,441812.709595,2597162.0,77069125.0
1004300.0,960787.0,805374.890385,4909566.0,110100948.0
1004400.0,2675000.0,725800.883649,8942176.0,117450000.0
1004500.0,640257.0,607852.27618,3419517.0,92810111.0
1004700.0,1037998.0,914723.994072,4708782.0,123012579.0
1004800.0,1197325.0,762000.524317,5027856.0,125505920.0
1004900.0,1425303.0,1226520.3626,7135587.0,187280258.0
1005000.0,939772.0,799102.195114,7064938.0,221462138.0
1005200.0,1032853.0,856026.16147,7813624.0,283993172.0
