,CensusTract,LotArea,FootPrint,FloorSpace,AssessLand,SurfaceArea,Neighborhood,land-lot,lot-fp,s,p,f,l,r
0,1000100,541886.0,104322.587485,541886.0,4225950.0,1844421.23837,park-cemetery-etc-Manhattan,1302535.23837,437563.412515,0.2938,0.0566,5.1943,0.2938,0.1925
3,1000500,9013884.0,1636978.14039,3447127.0,115785000.0,9081808.05089,park-cemetery-etc-Manhattan,67924.05089,7376905.85961,0.3796,0.1802,2.1058,0.9925,0.1816
4,1000600,1918049.0,756764.517902,5081078.0,78286614.0,2583417.58197,Lower East Side,665368.58197,1161284.4821,1.9668,0.2929,6.7142,0.7424,0.3945
5,1000700,2152431.0,1187126.89383,27771533.0,718524247.0,2528569.60166,Battery Park City-Lower Manhattan,376138.60166,965304.10617,10.9831,0.4695,23.3939,0.8512,0.5515
6,1000800,999809.0,679379.63085,4010277.0,64781195.0,2366871.16185,Chinatown,1367062.16185,320429.36915,1.6943,0.287,5.9029,0.4224,0.6795
7,1000900,1679572.0,1196680.75126,22536759.0,575230250.0,3122058.76235,Battery Park City-Lower Manhattan,1442486.76235,482891.24874,7.2186,0.3833,18.8327,0.538,0.7125
8,1001001,298550.0,69338.6467093,1231250.0,8595450.0,867808.511034,Lower East Side,569258.511034,229211.353291,1.4188,0.0799,17.7571,0.344,0.2323
10,1001200,563891.0,267185.268731,2232631.0,28163827.0,1298211.2606,Lower East Side,734320.2606,296705.731269,1.7198,0.2058,8.3561,0.4344,0.4738
11,1001300,2145568.0,1244198.04936,23051898.0,672570019.0,3463333.08453,Battery Park City-Lower Manhattan,1317765.08453,901369.95064,6.656,0.3592,18.5275,0.6195,0.5799
12,1001401,716175.0,170720.003006,2184118.0,26883000.0,1006080.80467,Lower East Side,289905.80467,545454.996994,2.1709,0.1697,12.7936,0.7118,0.2384
13,1001402,554946.0,336895.02893,1775461.0,29737264.0,1226206.04788,Lower East Side,671260.04788,218050.97107,1.4479,0.2747,5.2701,0.4526,0.6071
14,1001501,1590842.0,1067696.10781,8721749.0,191003935.0,2814991.38428,Battery Park City-Lower Manhattan,1224149.38428,523145.89219,3.0983,0.3793,8.1688,0.5651,0.6712
15,1001502,1385593.0,930601.076508,13957267.0,335340765.0,2201257.30611,Battery Park City-Lower Manhattan,815664.30611,454991.923492,6.3406,0.4228,14.9981,0.6295,0.6716
16,1001600,1255827.0,822906.273746,3523500.0,87077330.0,2233319.76276,Chinatown,977492.76276,432920.726254,1.5777,0.3685,4.2818,0.5623,0.6553
17,1001800,1324196.0,890756.330909,4326950.0,105199756.0,2399045.31544,Chinatown,1074849.31544,433439.669091,1.8036,0.3713,4.8576,0.552,0.6727
18,1002000,732278.0,183445.825803,1797649.0,29402100.0,1368554.35977,Lower East Side,636276.35977,548832.174197,1.3135,0.134,9.7993,0.5351,0.2505
19,1002100,1730632.0,1289183.53011,16806517.0,263502177.0,2611965.07501,SoHo-TriBeCa-Civic Center-Little Italy,881333.07501,441448.46989,6.4344,0.4936,13.0366,0.6626,0.7449
20,1002201,1278632.0,471372.673219,3321846.0,57188015.0,1740173.79436,Lower East Side,461541.79436,807259.326781,1.9089,0.2709,7.0472,0.7348,0.3687
21,1002202,289352.0,223372.541098,1222393.0,19449068.0,603922.222446,Lower East Side,314570.222446,65979.458902,2.0241,0.3699,5.4724,0.4791,0.772
23,1002500,938066.0,195483.164316,1492152.0,40931100.0,1439387.81849,Chinatown,501321.81849,742582.835684,1.0367,0.1358,7.6331,0.6517,0.2084
24,1002601,646863.0,405133.356888,1731443.0,28624298.0,1141510.04298,Lower East Side,494647.04298,241729.643112,1.5168,0.3549,4.2738,0.5667,0.6263
25,1002602,664734.0,468832.557788,2251558.0,31228901.0,1115989.34351,Lower East Side,451255.34351,195901.442212,2.0175,0.4201,4.8025,0.5956,0.7053
26,1002700,309394.0,142472.101245,962473.0,21871558.0,638017.101253,Chinatown,328623.101253,166921.898755,1.5085,0.2233,6.7555,0.4849,0.4605
27,1002800,1208664.0,652403.777654,3789720.0,62725107.0,1973553.68367,Lower East Side,764889.68367,556260.222346,1.9203,0.3306,5.8089,0.6124,0.5398
28,1002900,1677756.0,1142026.75897,10250574.0,217518897.0,3012226.17212,Chinatown,1334470.17212,535729.24103,3.403,0.3791,8.9758,0.557,0.6807
29,1003001,769596.0,607836.924774,2749316.0,57538449.0,1344750.48782,Chinatown,575154.48782,161759.075226,2.0445,0.452,4.5231,0.5723,0.7898
30,1003002,493227.0,280745.999568,1566057.0,32316090.0,841097.860872,East Village,347870.860872,212481.000432,1.8619,0.3338,5.5782,0.5864,0.5692
31,1003100,1262004.0,763028.341443,8810648.0,142744831.0,2208672.01072,SoHo-TriBeCa-Civic Center-Little Italy,946668.01072,498975.658557,3.9891,0.3455,11.5469,0.5714,0.6046
32,1003200,1172234.0,675505.924139,4105148.0,74823728.0,2334190.23228,East Village,1161956.23228,496728.075861,1.7587,0.2894,6.0771,0.5022,0.5763
33,1003300,1706052.0,1587439.21345,13188858.0,210338610.0,3677727.54492,SoHo-TriBeCa-Civic Center-Little Italy,1971675.54492,118612.78655,3.5861,0.4316,8.3083,0.4639,0.9305
34,1003400,976189.0,731292.214714,3437291.0,61817936.0,1718525.04219,East Village,742336.04219,244896.785286,2.0001,0.4255,4.7003,0.568,0.7491
35,1003601,619133.0,310620.786617,1715871.0,37685970.0,1068027.19907,Chinatown,448894.19907,308512.213383,1.6066,0.2908,5.524,0.5797,0.5017
36,1003602,455836.0,357997.430411,1741878.0,36523869.0,961070.463813,East Village,505234.463813,97838.569589,1.8124,0.3725,4.8656,0.4743,0.7854
37,1003700,2300089.0,1663246.91405,13349599.0,202765677.0,4121299.35958,SoHo-TriBeCa-Civic Center-Little Italy,1821210.35958,636842.08595,3.2392,0.4036,8.0262,0.5581,0.7231
38,1003800,1357654.0,1031519.38937,5192910.0,122198465.0,2180883.75363,East Village,823229.75363,326134.61063,2.3811,0.473,5.0342,0.6225,0.7598
39,1003900,1807251.0,1352491.97792,10902091.0,168263220.0,3451489.35861,SoHo-TriBeCa-Civic Center-Little Italy,1644238.35861,454759.02208,3.1587,0.3919,8.0607,0.5236,0.7484
40,1004000,1184334.0,841084.769799,4361408.0,132543409.0,1927667.4675,East Village,743333.4675,343249.230201,2.2625,0.4363,5.1855,0.6144,0.7102
41,1004100,1231099.0,1053894.38644,4930309.0,102500540.0,2058843.42851,SoHo-TriBeCa-Civic Center-Little Italy,827744.42851,177204.61356,2.3947,0.5119,4.6782,0.598,0.8561
