,BoroCT2010,LotArea,FP,CT_Land,Bldg/Land,Lot/Land,Bldg/Lot
0,1000100,3306076.0,429752.7078,1844421.23837,23.3,179.25,13.0
1,1000201,1027607.0,363597.025848,971628.184379,37.42,105.76,35.38
2,1000202,4446012.0,579427.289294,3315121.27246,17.48,134.11,13.03
3,1000500,9425990.0,1641188.87285,9081808.05089,18.07,103.79,17.41
4,1000600,1982436.0,811541.229508,2583417.58197,31.41,76.74,40.94
5,1000700,2181723.0,1215921.54465,2528569.60166,48.09,86.28,55.73
6,1000800,1088037.0,707785.462144,2366871.16185,29.9,45.97,65.05
7,1000900,1861884.0,1230673.98158,3122058.76235,39.42,59.64,66.1
8,1001001,298550.0,69338.6467093,867808.511034,7.99,34.4,23.23
9,1001002,3498725.0,213133.345316,2225016.11813,9.58,157.24,6.09
10,1001200,606570.0,288984.162894,1298211.2606,22.26,46.72,47.64
11,1001300,2246047.0,1330418.85231,3463333.08453,38.41,64.85,59.23
12,1001401,716175.0,170720.003006,1006080.80467,16.97,71.18,23.84
13,1001402,558696.0,340184.307314,1226206.04788,27.74,45.56,60.89
14,1001501,1616451.0,1127214.46791,2814991.38428,40.04,57.42,69.73
15,1001502,1408936.0,948670.456217,2201257.30611,43.1,64.01,67.33
16,1001600,1355216.0,832530.040477,2233319.76276,37.28,60.68,61.43
17,1001800,1342489.0,914686.751398,2399045.31544,38.13,55.96,68.13
18,1002000,732278.0,183445.825803,1368554.35977,13.4,53.51,25.05
19,1002100,1737482.0,1301850.83873,2611965.07501,49.84,66.52,74.93
20,1002201,1286132.0,479561.955408,1740173.79436,27.56,73.91,37.29
21,1002202,293564.0,224600.083608,603922.222446,37.19,48.61,76.51
22,1002400,3140575.0,187187.252468,1860513.39063,10.06,168.8,5.96
23,1002500,938066.0,195483.164316,1439387.81849,13.58,65.17,20.84
24,1002601,656055.0,409127.235533,1141510.04298,35.84,57.47,62.36
25,1002602,689546.0,469960.133306,1115989.34351,42.11,61.79,68.16
26,1002700,309394.0,142472.101245,638017.101253,22.33,48.49,46.05
