,CensusTract,LotArea,FootPrint,FloorSpace,SurfaceArea,ct_density,dist_from_esb,Neighborhood,floorarea_sqft,s,p,f,l,r
0,1000100,541886.0,104322.587485,541886.0,1844421.23837,0.620799617886,6983.69547749,park-cemetery-etc-Manhattan,1145016,0.2938,0.0566,5.1943,0.2938,0.1925
1,1000500,9013884.0,1636978.14039,3447127.0,9081808.05089,0.300130875342,6218.90867838,park-cemetery-etc-Manhattan,2725731,0.3796,0.1802,2.1058,0.9925,0.1816
2,1000600,1918049.0,756764.517902,5081078.0,2583417.58197,1.86536974651,3782.72864542,Lower East Side,4819029,1.9668,0.2929,6.7142,0.7424,0.3945
3,1000700,2152431.0,1187126.89383,27771533.0,2528569.60166,11.1331445975,4837.18073162,Battery Park City-Lower Manhattan,28150931,10.9831,0.4695,23.3939,0.8512,0.5515
4,1000800,999809.0,679379.63085,4010277.0,2366871.16185,1.70859363415,3821.20970701,Chinatown,4044021,1.6943,0.287,5.9029,0.4224,0.6795
5,1000900,1679572.0,1196680.75126,22536759.0,3122058.76235,7.2279309,5142.41143688,Battery Park City-Lower Manhattan,22566025,7.2186,0.3833,18.8327,0.538,0.7125
6,1001001,298550.0,69338.6467093,1231250.0,867808.511034,1.50181518553,3648.76925653,Lower East Side,1303288,1.4188,0.0799,17.7571,0.344,0.2323
7,1001200,563891.0,267185.268731,2232631.0,1298211.2606,1.85036370651,3318.27865287,Lower East Side,2402163,1.7198,0.2058,8.3561,0.4344,0.4738
8,1001300,2145568.0,1244198.04936,23051898.0,3463333.08453,7.50269822907,4522.32814393,Battery Park City-Lower Manhattan,25984343,6.656,0.3592,18.5275,0.6195,0.5799
9,1001401,716175.0,170720.003006,2184118.0,1006080.80467,2.1709170773,3531.36375703,Lower East Side,2184118,2.1709,0.1697,12.7936,0.7118,0.2384
10,1001402,554946.0,336895.02893,1775461.0,1226206.04788,1.33165139972,3200.23154179,Lower East Side,1632879,1.4479,0.2747,5.2701,0.4526,0.6071
11,1001501,1590842.0,1067696.10781,8721749.0,2814991.38428,3.5469835026,4356.55264861,Battery Park City-Lower Manhattan,9984728,3.0983,0.3793,8.1688,0.5651,0.6712
12,1001502,1385593.0,930601.076508,13957267.0,2201257.30611,6.35176858298,4609.6773592,Battery Park City-Lower Manhattan,13981877,6.3406,0.4228,14.9981,0.6295,0.6716
13,1001600,1255827.0,822906.273746,3523500.0,2233319.76276,1.66943133812,3412.93363019,Chinatown,3728374,1.5777,0.3685,4.2818,0.5623,0.6553
14,1001800,1324196.0,890756.330909,4326950.0,2399045.31544,1.83603076259,3045.06270468,Chinatown,4404721,1.8036,0.3713,4.8576,0.552,0.6727
15,1002000,732278.0,183445.825803,1797649.0,1368554.35977,1.31353861625,2971.12897613,Lower East Side,1797649,1.3135,0.134,9.7993,0.5351,0.2505
16,1002100,1730632.0,1289183.53011,16806517.0,2611965.07501,6.46470052818,4089.4037889,SoHo-TriBeCa-Civic Center-Little Italy,16885572,6.4344,0.4936,13.0366,0.6626,0.7449
17,1002201,1278632.0,471372.673219,3321846.0,1740173.79436,1.90891623053,2994.4216444,Lower East Side,3321846,1.9089,0.2709,7.0472,0.7348,0.3687
18,1002202,289352.0,223372.541098,1222393.0,603922.222446,2.0993332467,2866.46948372,Lower East Side,1267834,2.0241,0.3699,5.4724,0.4791,0.772
19,1002500,938066.0,195483.164316,1492152.0,1439387.81849,1.03665737672,4144.59097145,Chinatown,1492152,1.0367,0.1358,7.6331,0.6517,0.2084
20,1002601,646863.0,405133.356888,1731443.0,1141510.04298,1.54987072683,2676.8862385,Lower East Side,1769193,1.5168,0.3549,4.2738,0.5667,0.6263
21,1002602,664734.0,468832.557788,2251558.0,1115989.34351,2.06964789891,2497.84672901,Lower East Side,2309705,2.0175,0.4201,4.8025,0.5956,0.7053
22,1002700,309394.0,142472.101245,962473.0,638017.101253,1.52636661006,3940.65712998,Chinatown,973848,1.5085,0.2233,6.7555,0.4849,0.4605
23,1002800,1208664.0,652403.777654,3789720.0,1973553.68367,1.94064242168,2203.71688598,Lower East Side,3829962,1.9203,0.3306,5.8089,0.6124,0.5398
